layer_idx,layer_name,n_samples,n_right,n_wrong,n_folds,cv_bal_acc_mean,cv_bal_acc_std,cv_acc_mean,cv_acc_std,cv_auc_mean,cv_auc_std,cv_bal_acc_folds,cv_auc_folds
0,layer_00,485,208,277,5,0.4945916481892092,0.006171551665133035,0.48453608247422686,0.06775949165012363,0.5090019533312216,0.007764600237264154,"[0.4944, 0.4853, 0.4909, 0.5, 0.5024]","[0.5058, 0.4968, 0.5087, 0.5198, 0.5139]"
1,layer_01,485,208,277,5,0.642881955442931,0.04724171893250837,0.6453608247422681,0.044509346690562675,0.662120684193855,0.040320636391381934,"[0.7271, 0.6045, 0.6481, 0.6426, 0.5921]","[0.7247, 0.5996, 0.6654, 0.6485, 0.6725]"
2,layer_02,485,208,277,5,0.6618047196705733,0.044939077986248646,0.6618556701030928,0.0467455012319779,0.704551789673741,0.03905548363377955,"[0.6963, 0.6431, 0.5879, 0.7173, 0.6644]","[0.739, 0.6528, 0.6615, 0.7413, 0.7282]"
3,layer_03,485,208,277,5,0.6721185724844262,0.0219134048606094,0.6721649484536082,0.03016234812026347,0.7158024495829374,0.0258394781185978,"[0.6907, 0.6851, 0.6299, 0.6727, 0.6823]","[0.7104, 0.7195, 0.6835, 0.7038, 0.7618]"
4,layer_04,485,208,277,5,0.6992801710484637,0.00890638539520371,0.7010309278350515,0.013040320248117035,0.7342065251821349,0.0299732635310312,"[0.6879, 0.6976, 0.7048, 0.6929, 0.7132]","[0.7446, 0.7385, 0.6818, 0.7317, 0.7744]"
5,layer_05,485,208,277,5,0.6884428782599514,0.02314073159341515,0.6927835051546392,0.02944918939605298,0.7432282757892514,0.023478421755829107,"[0.6669, 0.6857, 0.66, 0.7141, 0.7156]","[0.7316, 0.7264, 0.7377, 0.7308, 0.7896]"
6,layer_06,485,208,277,5,0.6901705205363741,0.020285690904926247,0.6927835051546392,0.017736753127922944,0.7306789145813536,0.006061348608407003,"[0.6879, 0.6913, 0.681, 0.7263, 0.6644]","[0.7424, 0.7303, 0.7277, 0.7274, 0.7256]"
7,layer_07,485,208,277,5,0.6979991553162286,0.024845498819703757,0.6989690721649484,0.027968371064434103,0.7325055432372507,0.016191797779643177,"[0.697, 0.7333, 0.6747, 0.7173, 0.6677]","[0.7368, 0.7442, 0.7216, 0.7526, 0.7073]"
8,layer_08,485,208,277,5,0.7081250659909196,0.03361585908279561,0.7134020618556701,0.0287183263447095,0.7382045190581776,0.020402478040826937,"[0.6732, 0.6823, 0.732, 0.762, 0.6912]","[0.7061, 0.7299, 0.7364, 0.7657, 0.753]"
9,layer_09,485,208,277,5,0.7117595818815331,0.054629080721988285,0.71340206185567,0.05954444980698413,0.7534600358990604,0.03183230638534872,"[0.6669, 0.739, 0.6299, 0.7774, 0.7456]","[0.7563, 0.7835, 0.6944, 0.7539, 0.7792]"
10,layer_10,485,208,277,5,0.7161535212754724,0.03314665844491933,0.7195876288659793,0.03535346020511804,0.7809967268503853,0.03645256227335984,"[0.6907, 0.7152, 0.6697, 0.7563, 0.7489]","[0.8, 0.7879, 0.7091, 0.8023, 0.8057]"
11,layer_11,485,208,277,5,0.7176351494034421,0.03817849973197426,0.7175257731958762,0.0405090365038938,0.7752322880371662,0.045834017773796115,"[0.7145, 0.76, 0.6719, 0.762, 0.6799]","[0.8, 0.8152, 0.6944, 0.8118, 0.7548]"
12,layer_12,485,208,277,5,0.7135471439129976,0.02272794891490059,0.7175257731958762,0.02811996226182653,0.7596821877309682,0.03256894319495948,"[0.7242, 0.7333, 0.6838, 0.7376, 0.6888]","[0.7498, 0.8095, 0.7156, 0.7814, 0.7422]"
13,layer_13,485,208,277,5,0.7057697180867912,0.047757139437007066,0.7072164948453608,0.04948453608247423,0.7660099250343153,0.03070571713526228,"[0.7152, 0.76, 0.6509, 0.753, 0.6498]","[0.7913, 0.7866, 0.7225, 0.7944, 0.7352]"
14,layer_14,485,208,277,5,0.6984645232815965,0.028916335543144024,0.7010309278350515,0.034501444393157735,0.7621634463097878,0.03657968817523974,"[0.6515, 0.7152, 0.6781, 0.7254, 0.7221]","[0.7528, 0.7913, 0.6961, 0.7979, 0.7726]"
15,layer_15,485,208,277,5,0.7219641537324465,0.02676483291975486,0.7257731958762886,0.029593196070942962,0.7893923556118677,0.03041562556686234,"[0.6998, 0.7361, 0.6963, 0.7676, 0.7099]","[0.7727, 0.8134, 0.755, 0.8362, 0.7696]"
16,layer_16,485,208,277,5,0.7393371872030409,0.020683111865243718,0.7443298969072165,0.019990432401716832,0.807050469855348,0.015451155267524686,"[0.769, 0.7452, 0.7292, 0.7465, 0.7067]","[0.8346, 0.8074, 0.7909, 0.8084, 0.794]"
17,layer_17,485,208,277,5,0.7368775736458664,0.022846017094565112,0.7381443298969073,0.02886597938144331,0.7995634040755991,0.02200928681078871,"[0.7719, 0.7452, 0.7076, 0.7165, 0.7432]","[0.8312, 0.8203, 0.7779, 0.7892, 0.7792]"
18,layer_18,485,208,277,5,0.7216600675747017,0.018517464223724807,0.7237113402061855,0.027968371064434103,0.7836041600675747,0.02635299210932749,"[0.7355, 0.7424, 0.6894, 0.7254, 0.7156]","[0.8303, 0.7835, 0.7593, 0.7574, 0.7875]"
19,layer_19,485,208,277,5,0.7127246330904867,0.021477293042112433,0.7134020618556701,0.02295985304259803,0.7790682082145496,0.028022754820365356,"[0.7383, 0.7123, 0.6866, 0.7352, 0.6912]","[0.8264, 0.7818, 0.7701, 0.7391, 0.7779]"
20,layer_20,485,208,277,5,0.7127058916693063,0.03618064198782013,0.71340206185567,0.03535346020511804,0.7810426565304615,0.03261676789578983,"[0.7684, 0.7333, 0.6866, 0.7108, 0.6644]","[0.8299, 0.7835, 0.7887, 0.7278, 0.7753]"
21,layer_21,485,208,277,5,0.7227087952697708,0.04036018056267276,0.7237113402061857,0.03220721515837797,0.7829648400380107,0.03513558226186372,"[0.7803, 0.7361, 0.7195, 0.723, 0.6546]","[0.8472, 0.7632, 0.787, 0.7435, 0.774]"
22,layer_22,485,208,277,5,0.7095486221095977,0.03615244967852829,0.7113402061855669,0.035112136836961634,0.7884056593812692,0.025985335407078515,"[0.7684, 0.7242, 0.6775, 0.7108, 0.6668]","[0.8281, 0.774, 0.7623, 0.7674, 0.8101]"
23,layer_23,485,208,277,5,0.725989071903706,0.023118532529619738,0.7278350515463918,0.017974841004291454,0.7983929891246964,0.024560364175084653,"[0.7446, 0.7424, 0.7377, 0.723, 0.6823]","[0.8177, 0.7571, 0.8143, 0.7831, 0.8197]"
24,layer_24,485,208,277,5,0.7188718192376728,0.01461157168587271,0.7216494845360825,0.0065201601240584914,0.7921412733607855,0.02503991090550172,"[0.7208, 0.7123, 0.7348, 0.7319, 0.6945]","[0.8299, 0.7545, 0.7883, 0.7822, 0.8057]"
25,layer_25,485,208,277,5,0.7297996515679444,0.030100623317426828,0.731958762886598,0.029879127311730803,0.790232288037166,0.04105649887602407,"[0.7838, 0.7214, 0.7019, 0.7385, 0.7034]","[0.858, 0.7489, 0.7597, 0.7679, 0.8166]"
26,layer_26,485,208,277,5,0.70142883539225,0.0416598994797164,0.7030927835051546,0.03987439093982212,0.7772790624010136,0.04177010935193911,"[0.7747, 0.7032, 0.6719, 0.7051, 0.6522]","[0.8545, 0.7333, 0.7576, 0.7574, 0.7835]"
27,layer_27,485,208,277,5,0.6989573434695385,0.03519376981722638,0.7010309278350515,0.03260080062029256,0.7654798859676908,0.042164532544044175,"[0.76, 0.6823, 0.6985, 0.7019, 0.6522]","[0.8407, 0.71, 0.7558, 0.7587, 0.7622]"
28,layer_28,485,208,277,5,0.6870013726111287,0.030441930208094648,0.6907216494845361,0.0252524715750843,0.761537852391511,0.03450767325101639,"[0.718, 0.7061, 0.6991, 0.6807, 0.6311]","[0.8294, 0.7455, 0.7498, 0.733, 0.75]"
