layer_idx,layer_name,n_samples,n_right,n_wrong,n_folds,cv_bal_acc_mean,cv_bal_acc_std,cv_acc_mean,cv_acc_std,cv_auc_mean,cv_auc_std,cv_bal_acc_folds,cv_auc_folds
0,layer_00,385,222,163,5,0.5,0.0,0.4233766233766234,0.006362311020216021,0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5]"
1,layer_01,385,222,163,5,0.8013573232323232,0.05144675253446236,0.8103896103896103,0.04900769419250181,0.8380509641873278,0.04830875165527554,"[0.8194, 0.8351, 0.7273, 0.8674, 0.7576]","[0.859, 0.8285, 0.8492, 0.9001, 0.7534]"
2,layer_02,385,222,163,5,0.8148926767676767,0.027185610136242024,0.8233766233766234,0.027974882114984403,0.8684469696969698,0.04005892546786779,"[0.8417, 0.8351, 0.7992, 0.8295, 0.7689]","[0.8743, 0.8694, 0.8988, 0.9063, 0.7934]"
3,layer_03,385,222,163,5,0.8307512626262626,0.022036214321157755,0.8389610389610389,0.02110139845359986,0.9006818181818181,0.026827547986753728,"[0.8306, 0.8573, 0.8295, 0.8447, 0.7917]","[0.916, 0.9132, 0.9008, 0.9242, 0.8492]"
4,layer_04,385,222,163,5,0.8392297979797979,0.016414304097872874,0.8467532467532466,0.015145329597000745,0.9087798438934802,0.021918742539469294,"[0.8462, 0.8462, 0.8447, 0.8523, 0.8068]","[0.9271, 0.8847, 0.9236, 0.9291, 0.8795]"
5,layer_05,385,222,163,5,0.8338825757575756,0.022859791821765927,0.8415584415584416,0.020779220779220734,0.907805325987144,0.02865834529166601,"[0.8618, 0.8038, 0.8409, 0.8523, 0.8106]","[0.9236, 0.8819, 0.9249, 0.9421, 0.8664]"
6,layer_06,385,222,163,5,0.8336868686868686,0.008665135523489772,0.8415584415584416,0.012724622040432058,0.9076515151515151,0.03524035162208094,"[0.8462, 0.826, 0.822, 0.8371, 0.8371]","[0.941, 0.8549, 0.9263, 0.9394, 0.8767]"
7,layer_07,385,222,163,5,0.8193434343434344,0.021554544735631252,0.8285714285714286,0.022343701992318474,0.9110927456382001,0.046649235274770606,"[0.8462, 0.8149, 0.8144, 0.8371, 0.7841]","[0.9583, 0.8361, 0.9401, 0.9435, 0.8774]"
8,layer_08,385,222,163,5,0.8464646464646466,0.018812718201009715,0.857142857142857,0.01836640990094926,0.911573691460055,0.027328785320108268,"[0.8684, 0.826, 0.8258, 0.8674, 0.8447]","[0.9556, 0.8799, 0.9298, 0.896, 0.8967]"
9,layer_09,385,222,163,5,0.8383712121212122,0.024478425646066164,0.8467532467532468,0.026488413057624827,0.9107196969696971,0.03913479150864957,"[0.884, 0.8306, 0.8144, 0.8409, 0.822]","[0.9618, 0.8569, 0.949, 0.8877, 0.8981]"
10,layer_10,385,222,163,5,0.8566919191919192,0.04047610366451326,0.8623376623376624,0.042362354364415794,0.9052904040404041,0.0484847140262696,"[0.9264, 0.8306, 0.822, 0.8788, 0.8258]","[0.9604, 0.8236, 0.9483, 0.8919, 0.9022]"
11,layer_11,385,222,163,5,0.8502020202020203,0.013503278745696998,0.8571428571428571,0.02011939400627226,0.9086088154269973,0.04030880009126408,"[0.8528, 0.8528, 0.8258, 0.8674, 0.8523]","[0.9542, 0.8375, 0.9256, 0.8946, 0.9311]"
12,layer_12,385,222,163,5,0.8543686868686869,0.03531756941295441,0.8597402597402597,0.03973261958643726,0.9192711202938476,0.029540596642603032,"[0.9108, 0.8573, 0.8068, 0.8674, 0.8295]","[0.9549, 0.8708, 0.9318, 0.9022, 0.9366]"
13,layer_13,385,222,163,5,0.8673926767676768,0.02987921750157247,0.8727272727272727,0.033262983051599186,0.9175757575757576,0.0405225929007812,"[0.9108, 0.8618, 0.8182, 0.8674, 0.8788]","[0.9535, 0.8465, 0.9449, 0.8981, 0.9449]"
14,layer_14,385,222,163,5,0.8587247474747475,0.029700458892801936,0.8649350649350648,0.03445843938031582,0.9148048668503215,0.040245699124616105,"[0.8951, 0.8417, 0.8106, 0.8674, 0.8788]","[0.9493, 0.841, 0.9394, 0.9029, 0.9415]"
15,layer_15,385,222,163,5,0.8610921717171719,0.01653849553335136,0.8675324675324674,0.022343701992318478,0.9134354912764003,0.03189050518419753,"[0.8795, 0.8729, 0.8333, 0.8674, 0.8523]","[0.9396, 0.8556, 0.936, 0.9022, 0.9339]"
16,layer_16,385,222,163,5,0.8610416666666667,0.03221553485353607,0.8675324675324674,0.03523288302922215,0.9142963728191,0.02860376252304721,"[0.9108, 0.8528, 0.8485, 0.8788, 0.8144]","[0.9451, 0.8708, 0.9463, 0.9001, 0.9091]"
17,layer_17,385,222,163,5,0.8690025252525253,0.03244492559110889,0.8727272727272727,0.037098329498923874,0.9216196051423324,0.02535136346517915,"[0.9153, 0.8729, 0.8258, 0.8902, 0.8409]","[0.9451, 0.8847, 0.9545, 0.9153, 0.9084]"
18,layer_18,385,222,163,5,0.8803661616161618,0.021583302458280395,0.8857142857142858,0.02518275250605886,0.9247819100091828,0.022657006608224582,"[0.9153, 0.8729, 0.8485, 0.8788, 0.8864]","[0.9444, 0.8819, 0.9428, 0.9256, 0.9291]"
19,layer_19,385,222,163,5,0.8900694444444444,0.016187311880347575,0.8961038961038961,0.01836640990094929,0.9417401285583104,0.035570240869510744,"[0.9108, 0.8729, 0.8712, 0.8902, 0.9053]","[0.9611, 0.875, 0.9594, 0.9373, 0.9759]"
20,layer_20,385,222,163,5,0.8955176767676768,0.029752897758162217,0.8987012987012987,0.03223291856101522,0.9346671258034893,0.039687739653830205,"[0.9264, 0.8618, 0.8636, 0.8939, 0.9318]","[0.9465, 0.8604, 0.9607, 0.9318, 0.9738]"
21,layer_21,385,222,163,5,0.8986931818181818,0.02113629952441917,0.9012987012987013,0.024087320767521316,0.9357816804407714,0.037484888725800136,"[0.9264, 0.8663, 0.8902, 0.8939, 0.9167]","[0.9472, 0.8674, 0.9614, 0.9284, 0.9745]"
22,layer_22,385,222,163,5,0.8902651515151515,0.028599039506740306,0.8935064935064935,0.03006710883841618,0.9399265381083562,0.04239239515189382,"[0.9264, 0.8507, 0.8902, 0.8674, 0.9167]","[0.9618, 0.8604, 0.9621, 0.9346, 0.9807]"
23,layer_23,385,222,163,5,0.8880366161616161,0.02409048225592271,0.8909090909090909,0.02797488211498445,0.9379981634527089,0.040470755720110364,"[0.9264, 0.8774, 0.8636, 0.8674, 0.9053]","[0.959, 0.8632, 0.9518, 0.9339, 0.9821]"
24,layer_24,385,222,163,5,0.8863320707070708,0.018674536949344206,0.8909090909090909,0.021101398453599905,0.9364784205693297,0.03900771786269953,"[0.9108, 0.8618, 0.875, 0.8788, 0.9053]","[0.9562, 0.8632, 0.9477, 0.9373, 0.978]"
25,layer_25,385,222,163,5,0.8810290404040405,0.01813533093268375,0.8857142857142858,0.02234370199231852,0.9368801652892561,0.04111766613320827,"[0.9108, 0.8618, 0.8636, 0.8788, 0.8902]","[0.9556, 0.8569, 0.9518, 0.9456, 0.9745]"
26,layer_26,385,222,163,5,0.8765277777777779,0.036195299898204275,0.8805194805194805,0.04220279690719977,0.9335720844811753,0.03981911885017163,"[0.9264, 0.8729, 0.8144, 0.8788, 0.8902]","[0.9535, 0.8576, 0.9339, 0.9511, 0.9718]"
27,layer_27,385,222,163,5,0.8750189393939394,0.04753202473781176,0.8779220779220779,0.05103086416724284,0.9334286042240588,0.04212203946272728,"[0.9108, 0.8507, 0.7992, 0.8788, 0.9356]","[0.9556, 0.8521, 0.9366, 0.9518, 0.9711]"
28,layer_28,385,222,163,5,0.8681060606060604,0.026181809170016564,0.8727272727272727,0.032232918561015185,0.9341219008264463,0.04538244344039078,"[0.8951, 0.8507, 0.8258, 0.8788, 0.8902]","[0.9646, 0.8458, 0.9387, 0.9525, 0.969]"
